,date,predicted_class,vader_score
393,2022-01-04,Social,0.44470000000000004
394,2022-01-17,Environmental,0.5581375
395,2022-01-17,Social,0.5883166666666667
396,2022-01-20,Governance,0.7269
397,2022-01-20,Social,0.09043333333333332
398,2022-01-25,Environmental,0.8359
399,2022-01-25,Social,0.47511000000000003
400,2022-02-10,Environmental,0.0
401,2022-02-17,Social,0.1779
402,2022-02-24,Environmental,0.11507096774193547
403,2022-02-24,Social,0.33463333333333334
404,2022-02-28,Social,0.0
405,2022-03-07,Environmental,0.556515
406,2022-03-08,Environmental,0.23932000000000003
407,2022-03-08,Social,0.6504000000000001
408,2022-03-09,Environmental,0.3288857142857143
409,2022-03-09,Social,-0.47125
410,2022-03-10,Environmental,0.3296140350877193
411,2022-03-10,Social,0.1366
412,2022-03-11,Environmental,0.26100833333333334
413,2022-03-11,Social,0.0
414,2022-03-15,Environmental,0.23896842105263158
415,2022-03-15,Social,0.9246
416,2022-03-17,Environmental,0.4027866666666667
417,2022-03-17,Social,0.7066
418,2022-03-18,Environmental,0.36286
419,2022-03-22,Environmental,0.39765555555555554
420,2022-03-22,Governance,-0.0516
421,2022-03-22,Social,0.442725
422,2022-03-24,Environmental,0.32088923076923076
423,2022-03-24,Social,0.4849333333333334
424,2022-03-28,Environmental,0.2693333333333333
425,2022-03-28,Social,0.38155
426,2022-04-01,Environmental,0.21670833333333336
427,2022-04-01,Social,0.86985
428,2022-04-06,Environmental,0.8779
429,2022-04-06,Social,0.5377
430,2022-04-20,Environmental,0.288764
431,2022-04-20,Social,0.5277909090909091
432,2022-04-21,Environmental,0.5110166666666667
433,2022-04-21,Social,0.56782
434,2022-04-22,Environmental,0.0
435,2022-04-28,Environmental,0.5378407407407407
436,2022-04-28,Social,0.7177
437,2022-04-29,Environmental,0.18963000000000002
438,2022-04-29,Social,0.44394999999999996
439,2022-05-04,Environmental,0.29714
440,2022-05-04,Social,0.6382
441,2022-05-11,Environmental,0.49239333333333335
442,2022-05-11,Social,0.7084333333333334
443,2022-05-17,Environmental,0.48894339622641514
444,2022-05-17,Social,0.5427307692307692
445,2022-05-18,Environmental,0.5701666666666666
446,2022-05-18,Social,0.1909
447,2022-05-19,Environmental,0.7072157894736841
448,2022-05-19,Social,0.56755
449,2022-05-24,Environmental,0.2619384615384615
450,2022-05-26,Environmental,0.18137272727272727
451,2022-05-26,Governance,0.0
452,2022-05-26,Social,0.2264878787878788
453,2022-06-01,Environmental,0.28807647058823527
454,2022-06-01,Governance,0.6808
455,2022-06-01,Social,0.34677142857142856
456,2022-06-02,Environmental,0.5253125
457,2022-06-02,Social,0.4970866666666666
458,2022-06-07,Environmental,0.07086976744186047
459,2022-06-07,Governance,0.0258
460,2022-06-08,Environmental,0.5141208333333334
461,2022-06-08,Social,0.20634285714285713
462,2022-06-15,Environmental,0.05996666666666667
463,2022-06-15,Social,0.45085
464,2022-06-22,Environmental,0.56884
465,2022-06-22,Social,0.5483399999999999
466,2022-06-23,Environmental,0.15186415094339623
467,2022-06-28,Environmental,0.19173809523809526
468,2022-06-28,Social,0.26553333333333334
469,2022-06-29,Environmental,0.4698666666666667
470,2022-06-29,Social,0.3571
471,2022-07-06,Environmental,0.5421
472,2022-07-06,Social,0.58765
473,2022-07-07,Environmental,0.28378000000000003
474,2022-07-07,Social,0.6908
475,2022-07-14,Environmental,0.2968292682926829
476,2022-07-14,Social,0.637975
477,2022-07-15,Environmental,0.10868000000000003
478,2022-07-19,Environmental,0.10460999999999998
479,2022-07-20,Environmental,0.4610888888888889
480,2022-07-26,Environmental,0.22314999999999996
481,2022-07-26,Social,0.7731333333333333
482,2022-07-28,Environmental,0.3321512820512821
483,2022-08-02,Social,0.3818
484,2022-08-08,Environmental,0.5719
485,2022-08-08,Governance,0.34631538461538464
486,2022-08-08,Social,0.39943333333333336
487,2022-08-11,Environmental,0.1688714285714286
488,2022-08-11,Social,0.3408333333333333
489,2022-08-31,Social,0.40504285714285715
490,2022-09-06,Environmental,0.17211428571428572
491,2022-09-06,Social,0.23267857142857146
492,2022-09-08,Social,0.12391666666666667
493,2022-09-12,Environmental,0.5542916666666667
494,2022-09-13,Environmental,0.4092294117647059
495,2022-09-13,Social,0.517375
496,2022-09-19,Environmental,0.45099200000000006
497,2022-09-19,Social,0.8229
498,2022-09-22,Environmental,0.41900961538461534
499,2022-09-22,Social,0.7984666666666667
500,2022-09-26,Environmental,0.465308
501,2022-09-26,Social,0.159
502,2022-09-27,Environmental,0.27926
503,2022-09-27,Social,0.46549999999999997
504,2022-10-03,Environmental,0.291125
505,2022-10-03,Social,0.572225
506,2022-10-04,Environmental,0.203075
507,2022-10-04,Social,0.133009756097561
508,2022-10-12,Environmental,0.4914730769230769
509,2022-10-12,Social,0.35634
510,2022-10-13,Environmental,0.3200108108108108
511,2022-10-13,Social,0.3749181818181819
512,2022-10-18,Environmental,0.4842125
513,2022-10-18,Social,0.53345
514,2022-10-19,Environmental,0.5245772727272727
515,2022-10-19,Social,0.0258
516,2022-10-20,Environmental,0.3162981818181818
517,2022-10-20,Social,0.32229302325581394
518,2022-10-21,Social,0.0
519,2022-10-24,Environmental,0.40546666666666664
520,2022-10-24,Social,0.3715
521,2022-10-25,Environmental,0.3852363636363636
522,2022-10-25,Social,0.5712333333333334
523,2022-10-27,Environmental,0.5285878787878788
524,2022-10-27,Social,0.7579
525,2022-11-01,Environmental,0.42440714285714287
526,2022-11-01,Social,0.3943384615384616
527,2022-11-02,Environmental,0.30335399999999996
528,2022-11-02,Social,0.4140576923076923
529,2022-11-03,Environmental,0.5113382978723404
530,2022-11-03,Social,0.38915
531,2022-11-07,Environmental,0.47809166666666664
532,2022-11-07,Social,0.44752000000000003
533,2022-11-08,Social,0.3182
534,2022-11-09,Environmental,0.29775999999999997
535,2022-11-09,Social,0.42049000000000003
536,2022-11-10,Environmental,0.3554777777777778
537,2022-11-10,Social,0.5267
538,2022-11-14,Environmental,0.4102722222222222
539,2022-11-14,Social,0.43970588235294117
540,2022-11-16,Environmental,0.3565384615384615
541,2022-11-16,Social,0.7184
542,2022-11-29,Environmental,0.2723521739130435
543,2022-12-01,Environmental,0.4932083333333333
544,2022-12-01,Social,0.5074
545,2022-12-08,Environmental,0.0
546,2022-12-09,Environmental,0.55593
547,2022-12-09,Social,0.63076
548,2022-12-15,Environmental,0.355872
549,2022-12-15,Social,0.5965222222222222
550,2022-12-16,Environmental,-0.1103
551,2022-12-16,Social,-0.24375999999999998
552,2022-12-19,Environmental,0.32149999999999995
553,2022-12-20,Environmental,0.3492357142857143
554,2022-12-20,Social,0.20585714285714288
555,2023-01-04,Environmental,0.41559999999999997
556,2023-01-04,Social,0.60013
557,2023-01-09,Social,-0.128
558,2023-01-11,Environmental,0.32005925925925927
559,2023-01-11,Social,0.36618333333333336
560,2023-01-12,Environmental,0.44334583333333333
561,2023-01-12,Social,0.3612
562,2023-01-17,Environmental,0.19708076923076925
563,2023-01-19,Environmental,0.24399500000000002
564,2023-01-19,Social,0.4128375
565,2023-01-23,Environmental,0.41556
566,2023-01-23,Social,0.4486
567,2023-01-25,Environmental,0.6343842105263158
568,2023-01-25,Social,0.0
569,2023-01-26,Environmental,0.3198769230769231
